customer_tweet_id,customer_text,apple_tweet_id,apple_text
4900,@AppleSupport @116860 I have and my battery life has become even worse,4902,@116861 Let's look into this further in DM. https://t.co/GDrqU22YpT
4905,@AppleSupport I've updated to iOS 11.1 just now. I shall check out these WiFi hotspots tomorrow and later in the week.,4907,@116855 Sounds good. Let us know the results in DM and we'll continue working with you there. Thanks again. https://t.co/GDrqU22YpT
4906,@AppleSupport The ‘Overlapping url over TIME on Free WiFi hotspots’ remains. v11.0.3. Not a WiFi problem; two different hotspots shown. https://t.co/81ifcrDUeS,4904,@116855 We'd like to have you backup and update your iPhone to iOS 11.1 and let us know if that helps: https://t.co/ahjigcvFRG
4909,コレは本当に困る、ゲームも出来なくなったしアップデートしなきゃ良かった´д` ; @AppleSupport @115858 → 「バッテリーの減りが激しい」という問題に関しても同様）。 https://t.co/bGQly6cE2O,4908,@116862 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj.
4915,Don’t complain a lot about @115858 but when battery iphone goes down 50% after using your phone for 30 minutes ..... Problems since update 11,4914,@116864 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT
4917,.@AppleSupport why my iPhone keep dying at 30% quit playing games I'm not getting no new damn phone or iPhone x,4916,@116865 We'd like to help. What iOS version are you on?
5808,Y’all need to fix this now @115858,5807,@117096 Thank you for reaching out. We've received your DM and will continue working with you there.
5810,@AppleSupport No,5809,"@117097 Got it. We recommend updating your Watch OS, then testing to see if the issue persists. If the problem continues, reach back out."
5812,@AppleSupport just updated my 7 plus to 11.1 but I can’t see the new emojis on my watch. Pls help.,5811,@117097 Got it. Have you updated your Apple Watch to 4.1 yet?
5814,@AppleSupport ok cool,5813,@117098 Does this issue happen with all applications or only some?  Let us know in DM. https://t.co/GDrqU22YpT
5816,I️ &lt;— wtf is going on @AppleSupport,5815,@117098 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT
5819,@AppleSupport I can’t change lock screen anymore from ‘wallpaper’ in settings. How do I do it now?,5817,@117099 We'd be happy to help. Check out this link to for more information: https://t.co/hSnkM7JIIS
5821,"Dear @AppleSupport this new update sucks ,I have too many problems with my phone now ! Blurry screen , black screen , frozen phone !",5820,@117100 Getting the expected performance from your iPhone is very important to us. Let us know the exact iOS version to get started.
5823,@115858 creates amazing technology..... but talk to text still messes up 90% of what I will it to type..... #fixyourcrap,5822,@117101 Let’s work together on this. How long has this been happening? Do you experience similar behavior with Siri?
5829,Heyyy @115858 still waiting on a version of iOS 11 that isn’t complete shit — Everyone with any iPhone that isn’t the brand new one,5827,"@117103 Thanks for reaching out. If you're having issues, we'd like to assist. DM us and we'll continue there. https://t.co/GDrqU22YpT"
5831,@AppleSupport why does my iphone 6 is redémarrer alone !!!!!,5830,@117104 Thanks for getting back to us. We apologize but aren't understanding the issue at hand. Please DM us. https://t.co/GDrqU22YpT
5833,"sa fait 1h j’ai ios11.1 et mon tel redemarre seul, explication @AppleSupport ?????",5832,@117104 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
5835,You dropped an update and I️ still see boxed question marks. Fix this shit @AppleSupport @115858.,5834,@117105 We're here to help. Which version of iOS is installed on your device? You'll see this in Settings &gt; General &gt; About.
5837,@AppleSupport Yes. Sorry. I️ just watched a video about 11.2 beta. 11.1 When I️ type the letter Eye I️ happens https://t.co/bUBElgADue,5840,"@117106 Have you tried resetting the keyboard dictionary yet? If not, go to Settings &gt; General &gt; Reset &gt; Reset Keyboard Library"
5841,@AppleSupport Tried I️t and I️t still doesn’t work,5842,@117106 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
5839,Just updated to iOS 11.2 and my keyboard is completely screwed up and glitchy now 🤦‍♂️ @115858 @AppleSupport,5836,@117106 We'd like to assist as best we can. Do you mean iOS 11.1 which was released today?
5844,"@AppleSupport No, virginmedia. Tried twice with completely new mail. One didn’t save, 2nd did though. Very odd.",5846,"@117107 Some accounts may create separate folders for your Drafts. If you're still having trouble, please DM us here: https://t.co/GDrqU22YpT"
5845,@AppleSupport Updated iPad Pro to 11.1. Worked on draft email. None of changes saved. Started new email. Saved but disappeared. Help please,5843,@117107 We'll help in any way we can. Was this on an https://t.co/coj9FJKJWV email account?
5853,@319 why is my “it “ autocorrecting to I.T?? So annoying! Can’t change in settings either...@AppleSupport,5852,@117109 We'd love to help. Let's work together in DM. https://t.co/GDrqU22YpT
6483,Hello @115858 @AppleSupport what’s happening to my screen https://t.co/GTNXT4VoKd,6482,@117151 We'd love to take a look into this concern. Is the screen stuck this way have you restarted it? Send us a DM. https://t.co/GDrqU22YpT
6554,@AppleSupport how long does it take usually for account recovery to get back to you? It’s been about a week now.,6553,@117154 Having access to your Apple ID is important. Did you receive an email with a confirmation of your request? DM us here: https://t.co/GDrqU22YpT
6608,@AppleSupport the fact that my laptop that I haven't even had for two years keeps shutting off without warning at 15% is kind of ridiculous.,6607,@117165 Let's see what we can find for you today. Let's meet up in DM to gather some specifics and we'll proceed from there. https://t.co/GDrqU22YpT
6657,@AppleSupport My wife made the mistake of updating to 11. How can we revert back? Her password keeper app is now dead. She can't access her passwords.,6656,@117177 You won't be able to revert the system to pre-iOS 11 but we can look into the issues. DM us and we'll get started. https://t.co/GDrqU22YpT
6917,"@AppleSupport Yes, sorry i mean iOS 11, when I texting my keyboard it’s very slow and my battery it consumes very fast.",6916,"@117183 Are you currently using Low Power Mode? If so, disable that from Settings &gt; Battery and restart. Let us know in DM if it helps. https://t.co/GDrqU22YpT"
6919,"@AppleSupport I installed the iOS 10.0 , 10.0.1 and 10.0.2 and makes my iPhone 6 very slow and doesn’t work properly can you help me?",6918,"@117183 We can help!  We assume you mean iOS 11, right?  Can you tell us what types of performance issues you're experiencing?"
6928,@AppleSupport my iPhone is a fully up to date so why does my phone keep freezing 🙃???,6927,"@117186 We want to help in any way we can. Which iPhone are you using? Let us know in DM, and we’ll work with you there. https://t.co/GDrqU22YpT"
6934,@115858 after the new apple updates: the battery life is really go fast and the WiFi is always on! @AppleSupport #newappleupdates,6933,@117189 We'd love to help. Let's work on this together in DM. Start by letting us know what kind of device you are using. https://t.co/GDrqU22YpT
8297,@AppleSupport Hello there i need help with the use of an administartors name and password on my imac,8296,@117454 Hi! We're happy to help. Join us in DM with the macOS version installed on your iMac and more details about what's going on. https://t.co/GDrqU22YpT
8299,@AppleSupport DL the latest iOS today. Very laggy 6s. Phone is running like hammered dog shit since the DL.,8298,@117455 Are you seeing issues across all apps or are you noticing lag when performing specific tasks? Let us know in DM. https://t.co/GDrqU22YpT
8302,Every time I watch a live broadcast or video it skips or repeats a few seconds since updating @AppleSupport https://t.co/ufl7yqidmb,8300,"@117456 We'd like to learn more about what's happening. What model &amp; iOS version are you working with? Tell us in DM, please. https://t.co/GDrqU2kzhr"
8304,@116333 @115858 can your team let me know why my new iPhone 6 always has hanging problem I do not know what the problem is by I know I feel I am cheated by apple for phone 📱 do I ?,8303,@117457 We'd be concerned with an unresponsive device too. Let us know your iOS version in DM and we'll help: https://t.co/GDrqU22YpT
8308,@AppleSupport I don’t know. I need the space though. How do I get rid of some snapshots,8307,@117459 Finder and Get Info windows don't include snapshots in their calculations so that's not the root cause. Let's meet within DM: https://t.co/GDrqU22YpT
8310,@AppleSupport Its slowing down my mac a lot,8309,"@117459  Is 25 GBs what you have left after the snapshots were created on the drive though? Or, were you low on space prior to snapshots?"
8313,@AppleSupport i have 256 hd and timemachine/system is taking up 150gb of space. I only have 25gb free. Is it suppose to work like this?,8311,@117459 Thanks for reaching out to us. We're happy to help out. We recommend checking out this link: https://t.co/03O2CionXW
8315,@AppleSupport Thank you,8317,@117460 You're very welcome! Please feel free to reach out to us again if you need any more help. Have a great day!
8316,@AppleSupport https://t.co/Pk9RhMiLjh,8314,@117460 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT
8320,@115858 @AppleSupport iOS 11.1 should never been released. So many bugs. The statusbar randomly disappears in Facebook app,8319,@117460 We'd like to look into the trouble you're having. Does this only occur in the Facebook app?
8340,@AppleSupport only 8 attempts to open the twitter app and complain about the iOS 11 messing up my iPhone 7 - this is slowing down my life :(,8339,@117466 We'd like to look into this with you. Please DM us details and we'll be glad to work with you towards a resolution. https://t.co/GDrqU22YpT
8420,@AppleSupport Chat doesn’t seem to work in Germany. On the order page I cannot leave comments …,8418,"@117481 If you are unable to access these resources, let's get you connected with our local AppleCare Support team to get you to our Online Support group: https://t.co/zDY8Np0kg6"
8422,"Dear @115858, I have an online order which I never received - who can I talk to?",8421,@117481 We want to help out. Look here to talk with our Online Support:  https://t.co/8yjRd1Xo0i
8435,@AppleSupport I need an actual human to help me,8438,"@117484 Understood. For further help with your Apple ID, connect with one of our Apple ID Advisors here: https://t.co/UJm15vmMM2"
8437,@115858 suck! Upgrade phone &amp; I lose my Apple ID. Can’t get new id without old &amp; can’t book Genius bar help appointment without ID!!! #stupid,8434,"@117484 We're happy you reached out so we can find you the info you need. If you forgot your Apple ID, go to the Apple ID account page: https://t.co/ggVDoc1mU7 From here, click ""Forgot Apple ID or password?"" then click ""look it up."" From here, follow the on screen prompts."
8542,@115858 needs to figure it’s shit out. My phone won’t stop freezing &amp; closing apps 🙄😡,8541,"@117500 Let us help. Does this happen while using any specific app? Also, which version of iOS are you currently running?"
8544,"@AppleSupport no, my photos aren’t gone. why are there four (five actually, one isn’t pictured) albums in my photos all labeled twitter?",8546,@117501 Got it. Please continue with us by reaching out to our Photos app experts: https://t.co/IBIY3vMgPj
8545,what the fuck @115858? https://t.co/oHhvAW2pqh,8543,"@117501 We're here for you. Let's work together to locate your photos. Did you just recently restore your device, by any chance?"
8548,@AppleSupport lil help? https://t.co/3cl8aEdWdr,8547,@117502 We'd love to help. DM us which iOS device you are experiencing this issue on to get started. https://t.co/GDrqU22YpT
8553,@AppleSupport ya.. i did that way like 3-4times for make my screen finally worked out. whats the causes anw? what tips to prevent it wont happen again?,8554,"@117503 We wouldn't want to speculate into the cause, but please send us a DM so we can look into this further with you. https://t.co/GDrqU22YpT"
8551,@AppleSupport ya.lately my screen was disfunction for touch after its been restart. i couldnt enter passcode yet homebutton still figureout my fingerprint,8549,"@117503 For security, the passcode is always required even if you have Touch ID turned on. Are you still having touch screen issues?"
8557,"@AppleSupport is that safe if we disable passcode for unlock iphone? i mean,is the fingerprint still worked out? i think dat would be enough",8556,@117503 We want to make sure we understand the issue. Are you wanting to disable the passcode and still use Touch ID?
8559,@AppleSupport Yes I️ just did that today.,8562,"@117504 OK, please DM us, so we can work together on this. https://t.co/GDrqU22YpT"
8568,@115858 wtf y’all got going on with my emojis 😐 I’m seeing boxes and shit,8566,@117506 Hey there. 70 new Emoji have been released with iOS 11.1. Update to that and let us know how it goes.
8573,@AppleSupport Thank you.,8575,"@117508 You are most welcome. If there is anything we can do to assist you in the future, please don't hesitate to reach back out."
8574,@AppleSupport this is the second Fishing email that I have gotten in 2 days https://t.co/WG3DvyKLSj,8572,@117508 We are here to help. Please refer to the following article for steps to report these emails: https://t.co/yGvlh3cZ5Y
8577,@AppleSupport since upgrade to High Sierra I see this screen each time my iMac reboots thus defeating automatic login I need. Help. https://t.co/z9trEHnGbP,8576,"@117509 Thanks for reaching out to let us know about this. So we can look into this with you, please DM us here: https://t.co/GDrqU22YpT"
8579,"@AppleSupport I bought 2 iPhones X on Friday, but I don’t see any charge on my credit card. Do I should worry or it’s normal?",8578,"@117510 Thanks for reaching out to us. Please send us a DM with your country, and we'll look into this. https://t.co/GDrqU22YpT"
9151,"@AppleSupport Well, I️ was running 11.0.3, and now 11.1. Issue persists.",9153,@117639 Thanks. Please DM us and we'll continue this conversation there. https://t.co/GDrqU22YpT
9154,@AppleSupport @117639 I’m having the same issue!!! Just started today!,9155,@117640 Lets help get this sorted. Please DM us the version of iOS you're using and we can go from there. https://t.co/GDrqU22YpT
9158,@AppleSupport It’s showing it’s connected and the battery is decreasing.,9157,@117641 We are here for you. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT
9160,I got my phone yesterday and it’s already not charging thanks @115858 🙃,9159,@117641 We want to make sure you can charge and enjoy your new phone. Is it not showing as connected to power when plugged in?
9165,Can I undo this iOS update? This is horrendous and dealing with phone frustration during 75% of my 150 mobile uses each day is not acceptable @115858,9164,@117643 We'd be happy to help. Send us a DM with a few details. https://t.co/GDrqU22YpT
