annotation_id,customer_message,human_intent,human_decision,predicted_intent
153,this is whts happening with ur ios11 and abv updates blacked out screen,software_update_issue,AUTO_HANDLE,device_hardware_issue
156,Never in my life have I had so many problems with my phone before whyyyyy,general_complaint_unclear,ESCALATE,battery_power_charging
160,when will you fix the bug with letter I ? Get a glitch with a A?,product_howto_information,AUTO_HANDLE,general_complaint_unclear
165,My phone is driving me mad! keeps freezing and not opening apps! It s virtually a new iPhone7 sort it out,device_hardware_issue,AUTO_HANDLE,software_update_issue
166,How do I set up Apple Pay cash.,billing_purchase_payment,ESCALATE,product_howto_information
167,downloaded 11.0.3 and now my 7 is all buggy and I m still leasing it. No thanks. This will be my last product.,general_complaint_unclear,ESCALATE,software_update_issue
169,"I m not attacking or tryn to cause drama, I just really need the Info that s on my note app. I m an international student so Losing it is going to affect me because it has important University/Bank info.",general_complaint_unclear,ESCALATE,apps_media_services
172,my phone is frozen and IM GETTING PISSED,device_hardware_issue,AUTO_HANDLE,general_complaint_unclear
176,"Howdy. Today I started getting a ""No Sim Card Installed"" message on my iPhone 6. I'm running 9.2.1 ???",billing_purchase_payment,ESCALATE,connectivity_network
178,Hi . Was just wondering when the update to fix the lock screen music/ radio/ podcasts problem.,apps_media_services,AUTO_HANDLE,device_hardware_issue
179,iOS update drains my iPhone 6s battery. Please fix!,battery_power_charging,AUTO_HANDLE,software_update_issue
181,it s high time Apple please fix iOS 11 even with the latest iOS i.e 11.1.1 its still battery hungry.. Also a new issue in Apple Music while playing songs online in Apple Music.. please please fix..,battery_power_charging,AUTO_HANDLE,software_update_issue
186,The latest iOS boosted my text size. I cannot return to a standard size in Settings in the Text Size control. What gives??,general_complaint_unclear,ESCALATE,software_update_issue
187,the update made it so that I can t airdrop songs from garageband to my voice notes. You ve ruined me.,data_storage_backup,AUTO_HANDLE,software_update_issue
189,"Nearly burnt the house down. Official cable and iPad plug, fire risk",battery_power_charging,ESCALATE,general_complaint_unclear
191,After updating to 11.0.3 battery drains quick and takes for ever to charge. Screen stay Horizontal when you go back vertical.,billing_purchase_payment,ESCALATE,battery_power_charging
195,"Thanks. No, it s on many types of notifications in note center. Typically in the top note above the Earlier Today section. Occasionally in the top note OF the Earlier Today section. I ll screenshot next appearance...",general_complaint_unclear,ESCALATE,device_hardware_issue
197,yo I have purchased movies via Apple TV why is it taking so long to load?,billing_purchase_payment,ESCALATE,apps_media_services
