annotation_id,tweet_id,author_id,created_at,customer_message,intent_proposed,expected_decision_proposed,evidence_required_proposed,label_notes_proposed,review_status
31,306214,189106,Sat Oct 07 08:34:27 +0000 2017,Thanks. It s an iPhone 7 with version 11.0.1,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
32,600393,262387,Sun Dec 03 20:52:23 +0000 2017,After update to 11.2 volume rocker no longer works.,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
33,1872160,559054,Fri Oct 20 02:22:47 +0000 2017,used to love apple now if not fixed soon switching phones,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
34,81963,134132,Thu Nov 30 04:54:21 +0000 2017,This shit don't work on my phone what tha fuck man? Tryna get a nigga got outchea?,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
35,1828506,548753,Tue Oct 17 07:53:39 +0000 2017,i've been trying to reset my apple id password&amp;i'm always asked to wait 24h for the code on my phone but i never received any?,account_access_security,ESCALATE,YES,Account or identity/access issue; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
36,1966573,582805,Tue Oct 31 03:21:37 +0000 2017,"Hey , it s been many yrs that I ve had an iPhone and this is the 1st time an iOS update kills my battery by lunch time. Fix this plz",battery_power_charging,AUTO_HANDLE,YES,"Primary issue concerns battery, charging, cable, or power.",PROPOSED - HUMAN REVIEW REQUIRED
37,1166638,394421,Sun Oct 15 05:36:27 +0000 2017,"Hey , your charger probably isn t supposed to get so hot it burns my arm... wanna figure that shit out?",battery_power_charging,AUTO_HANDLE,YES,"Primary issue concerns battery, charging, cable, or power.",PROPOSED - HUMAN REVIEW REQUIRED
38,2516058,607121,Wed Nov 15 22:18:07 +0000 2017,Why tf isn t my iMessage working ??? Y all suck it s a new problem everyday,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
39,1183996,398410,Tue Oct 24 22:43:20 +0000 2017,the keyboard keeps disappearing on the iPhone 7 ever since the iPhone 8 (and coincidently the iPhone 7 bug/upgrade) dropped.,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
40,246521,174553,Thu Oct 05 16:32:50 +0000 2017,I mean... Has the AC connected and it s going down lol that s hilarious,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
41,1010032,358991,Sun Oct 22 20:15:38 +0000 2017,My shit dies on 30% and restarts when I plug my headphones in way to force the upgrade,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
42,822243,257257,Thu Oct 12 22:37:25 +0000 2017,"hi! I m having problems with my do not disturb mode. I have it on the allow calls from favourites setting, but when someone calls from my favourites when DND is on, it doesn t ring on loud. Please can you help",general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
43,1332618,430879,Wed Sep 20 14:26:24 +0000 2017,"Yes, the twitter app does not open.",general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
44,1905796,567886,Wed Oct 18 15:13:50 +0000 2017,Current version iOS 11.0.3,software_update_issue,ESCALATE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
45,159553,152730,Fri Nov 24 18:05:22 +0000 2017,"I cannot get thru a single project without either Photoshop or iMovie crashing at some point. , can you please get your shit together?",device_hardware_issue,AUTO_HANDLE,YES,Primary device-function or hardware symptom.,PROPOSED - HUMAN REVIEW REQUIRED
46,2110891,622682,Fri Nov 17 19:39:36 +0000 2017,"I've got the iPhone 6s and want to install the latest update but I'm concerned I'd have to connect it to a laptop to complete the update, but I do not have one anymore, pls assist?",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
47,63182,130492,Wed Nov 01 21:14:14 +0000 2017,Need to get the OS x 10.9 update on an old Mac OS 10.8 help,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
48,34608,123498,Wed Nov 01 08:49:41 +0000 2017,Is there any possibility to combine two Apple-IDs?,product_howto_information,AUTO_HANDLE,YES,Clear information or how-to request.,PROPOSED - HUMAN REVIEW REQUIRED
49,366076,203278,Sun Oct 08 20:16:46 +0000 2017,"Why every time I start my iMac, it asks me to sign my iCloud account, I do it and it ask once more, and again, and again...???",account_access_security,ESCALATE,YES,Account or identity/access issue; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
50,222948,173353,Thu Oct 05 02:23:35 +0000 2017,I updated to 11.0.2 and it didn't help. Went from 100% to 32% on my morning run. Used to be at 85 - 90% under same usage before iOS 11,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
51,1831785,549615,Mon Oct 16 20:12:39 +0000 2017,The new update is horrible! My podcast feed is messed up and disorganized. And my phone keeps beeping for no reason???,apps_media_services,AUTO_HANDLE,YES,Primary issue concerns an Apple app/media/service feature.,PROPOSED - HUMAN REVIEW REQUIRED
52,1458809,468833,Fri Nov 03 09:53:36 +0000 2017,My iPhone 7 is a piece of crap. I paid for it not to work. I want my 750.00 back in cash,billing_purchase_payment,ESCALATE,YES,Financial/purchase-related request; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
53,2025774,599072,Mon Nov 06 14:26:13 +0000 2017,I updated my phone and now nothing works.,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
54,292380,185633,Fri Oct 06 09:59:55 +0000 2017,So this is my lockscreen. Why the hell is there no time and date,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
55,1765854,531062,Tue Nov 07 21:09:03 +0000 2017,"Hey fix this dang bug occurring with I . Don t give me a backwards fix, solve the problem you created with your bad update.",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
56,2038171,602649,Thu Oct 05 02:30:59 +0000 2017,how do i report a High Sierra bug? full-screen preview grid doesn't allow me to scroll.,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
57,1254545,414265,Thu Aug 31 01:59:31 +0000 2017,Love my new MacBook Pro... Hate the fact my 6 year old Pro has better battery life than this brand new one,battery_power_charging,AUTO_HANDLE,YES,"Primary issue concerns battery, charging, cable, or power.",PROPOSED - HUMAN REVIEW REQUIRED
58,2622743,740963,Fri Nov 17 14:23:46 +0000 2017,"My iphone 6s got wet, now the screen keeps going on and off without being touched, and going white with the black apple logo. Any advice?",device_hardware_issue,AUTO_HANDLE,YES,Primary device-function or hardware symptom.,PROPOSED - HUMAN REVIEW REQUIRED
59,2059826,609199,Sat Oct 07 06:21:43 +0000 2017,These updates are ruining my . The battery is now pitiful. It s been on 45 mins and down to 70% -Coincidence?,battery_power_charging,AUTO_HANDLE,YES,"Primary issue concerns battery, charging, cable, or power.",PROPOSED - HUMAN REVIEW REQUIRED
60,2154636,633026,Thu Nov 09 02:01:29 +0000 2017,Oh that s fuckin great. The phone crash problem is back with .,device_hardware_issue,AUTO_HANDLE,YES,Primary device-function or hardware symptom.,PROPOSED - HUMAN REVIEW REQUIRED
61,1682435,511451,Tue Nov 07 03:46:58 +0000 2017,"Yep. In settings, the wifi is on but says not connected. I have to toggle it on and off 2-3 times before it allows me to be connected again.",connectivity_network,AUTO_HANDLE,YES,"Primary issue concerns network, Wi-Fi, Bluetooth, cellular, or SIM.",PROPOSED - HUMAN REVIEW REQUIRED
62,2036986,602255,Mon Nov 06 23:48:59 +0000 2017,Ever since updating to I've been getting this message daily even though I select Always Allow. Suggestions?,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
63,2577100,730715,Thu Nov 16 20:04:44 +0000 2017,When will you guys completely fix this question mark thing?,product_howto_information,AUTO_HANDLE,YES,Clear information or how-to request.,PROPOSED - HUMAN REVIEW REQUIRED
64,2840103,790357,Mon Apr 04 22:46:28 +0000 2016,Awrite av got a problem with my iPhone,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
65,517204,239246,Sat Dec 02 00:47:26 +0000 2017,"same here! got the same problem too, please help",general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
66,1331246,430563,Fri Oct 27 15:30:29 +0000 2017,Also what is the delayed response while typing?! I should able to send messages that aren t a jumbled mess of letters,product_howto_information,AUTO_HANDLE,YES,Clear information or how-to request.,PROPOSED - HUMAN REVIEW REQUIRED
67,1166750,394443,Tue Oct 24 18:09:42 +0000 2017,Wat is dit nou weer. Touch id doet het in 1 keer niet meer,device_hardware_issue,AUTO_HANDLE,YES,Primary device-function or hardware symptom.,PROPOSED - HUMAN REVIEW REQUIRED
68,656333,276156,Wed Nov 22 22:04:32 +0000 2017,"please fix ur new ios. My iPhone X keeps turning off cellular data by it self. Disappearing contacts, Bluetooth turns on by it self. Disappointed customer.",connectivity_network,AUTO_HANDLE,YES,"Primary issue concerns network, Wi-Fi, Bluetooth, cellular, or SIM.",PROPOSED - HUMAN REVIEW REQUIRED
69,2005417,593037,Sat Nov 04 01:04:46 +0000 2017,can you explain to me why eye can t type the letter i capitalized without it doing this nonsense?,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
70,1507312,469830,Fri Nov 03 04:12:07 +0000 2017,"WTF did your new update do to my phone, I can't type ""I"" on my phone without it being changed to random symbols.",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
71,926704,193955,Sat Oct 21 14:41:21 +0000 2017,Yes I have my Siri on the right and play/pause on the left,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
72,1561781,482451,Sat Oct 28 21:34:51 +0000 2017,"Hi, getting error message when trying to install latest version on windows pc. Can you advise please?",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
73,949673,345235,Tue Oct 17 08:34:20 +0000 2017,Yes it is. And my Wi-fi keeps dropping. And I keep having problems with the mail client where it won t let me return to my inbox,connectivity_network,AUTO_HANDLE,YES,"Primary issue concerns network, Wi-Fi, Bluetooth, cellular, or SIM.",PROPOSED - HUMAN REVIEW REQUIRED
74,1967959,583136,Tue Oct 31 13:48:11 +0000 2017,why is my iPhone 6 Plus lagging so much,device_hardware_issue,AUTO_HANDLE,YES,Primary device-function or hardware symptom.,PROPOSED - HUMAN REVIEW REQUIRED
75,1756786,528963,Tue Nov 07 17:50:45 +0000 2017,I can t deal anymore... can u fix this problem I t is making me upset,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
76,1747965,526917,Tue Nov 07 12:43:52 +0000 2017,"Hey , I already pay for so why is it just this morning asking me to join/not giving me an option to sign in....",account_access_security,ESCALATE,YES,Account or identity/access issue; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
77,1434207,452988,Thu Nov 02 20:05:09 +0000 2017,Is this happening to anyone else ? This is frustrating,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
78,724019,293385,Fri Oct 06 14:14:33 +0000 2017,What's happening to my battery? It suddenly changes its percentage when I put it to charge/drops to 1% when in use.,billing_purchase_payment,ESCALATE,YES,Financial/purchase-related request; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
79,1097967,379083,Fri Oct 13 21:50:38 +0000 2017,(I realise that s a bit of a contradiction. Look forward to hearing from you ),general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
80,1295996,422932,Fri Oct 27 02:26:11 +0000 2017,my brightness will randomly change by its self as well as my volume and my low power mode and bluetooth will turn on and off randomly,connectivity_network,AUTO_HANDLE,YES,"Primary issue concerns network, Wi-Fi, Bluetooth, cellular, or SIM.",PROPOSED - HUMAN REVIEW REQUIRED
81,316471,191567,Thu May 04 05:42:32 +0000 2017,My pod is broken can u fix it,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
82,2752682,770585,Tue Nov 21 02:01:54 +0000 2017,Mainly iMessage but also Facebook Messenger. I would say it is laggin 75% of the time.,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
83,1681659,511266,Mon Nov 06 13:00:58 +0000 2017,here s your daily reminder that your product is trash I,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
84,457200,223551,Fri Dec 01 00:18:07 +0000 2017,"Installed and my late 2011 Mac is not working, it had no issues previously . I got it booted up, after reinstalling High Sierra, then I shut down &amp; it does not work. Here s what my screen looked like the other day. Any ideas?",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
85,2487274,710406,Wed Nov 15 15:06:30 +0000 2017,"I am very unhappy my iPhone decided to update itself without my permission, and now it doesn t work! Get me a new phone or give me my old software back!",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
86,849937,321951,Fri Oct 20 13:00:44 +0000 2017,I feel like I ve gone back in time to dial up internet with how slooooooow iOS 11.0.3 has made my phone,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
87,2058732,608890,Sun Nov 06 07:35:52 +0000 2016,My icloud account has been locked for security reasons. Even my Apple ID is locked. I can't receive my confirmation code.,account_access_security,ESCALATE,YES,Account or identity/access issue; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
88,938090,342362,Sat Oct 21 18:42:02 +0000 2017,So there's no way to turn off iOS auto download ?,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
89,2367812,683391,Mon Nov 13 22:59:01 +0000 2017,"what gives? You guys release updates by the minute but you re taking you re time fixing this A? keyboard issue. If you can release a $1,000 phone surely you can make it work correctly",device_hardware_issue,AUTO_HANDLE,YES,Primary device-function or hardware symptom.,PROPOSED - HUMAN REVIEW REQUIRED
90,1988395,588514,Thu Nov 02 04:32:46 +0000 2017,when y all plan on fixing these ugly ass boxes popping up instead of I ?,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
91,1642573,502079,Sun Nov 05 22:18:05 +0000 2017,This I thing is annoying,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
92,762780,302269,Sat Oct 07 02:59:13 +0000 2017,"i cant call anyone, take calls, or take videos. what the fuck fix your fucking ios 11 bullshit",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
93,2509347,594581,Wed Nov 15 22:44:26 +0000 2017,No it doesn t recognize it. I did diagnostic with Apple Care and it failed. Not sure how you expect me to mail my phone in.,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
94,1896694,547611,Tue Oct 24 15:27:55 +0000 2017,&amp; neither of them have a customer service number to call,product_howto_information,AUTO_HANDLE,YES,Clear information or how-to request.,PROPOSED - HUMAN REVIEW REQUIRED
95,2299872,667522,Sun Nov 12 16:36:00 +0000 2017,"When other people do, makes sense, thanks!",general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
96,2308718,669662,Mon Nov 13 01:47:28 +0000 2017,"So my iPhone has been a nightmare since the update. Try to review things or look at accounts and end up deleting and unfollowing in addition to all of the other problems. This is bullshit,",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
97,2299873,667522,Sun Nov 12 10:16:06 +0000 2017,"I m still getting the I glitch after updating iOS, anything I can do?",software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
98,1058931,370007,Mon Oct 23 16:06:32 +0000 2017,i m using a 6s and im on iOS 11.0.2,software_update_issue,AUTO_HANDLE,YES,Primary issue appears related to an OS update or update behavior.,PROPOSED - HUMAN REVIEW REQUIRED
99,2917302,224493,Tue Nov 28 23:40:50 +0000 2017,can t use this iCloud back up on my iPhone X why help,general_complaint_unclear,ESCALATE,YES,"Message is vague, primarily a complaint, or lacks enough information for a specific intent.",PROPOSED - HUMAN REVIEW REQUIRED
100,889070,331075,Sat Nov 25 15:20:19 +0000 2017,hi! What s the problem with ur ios? Home button and touch screen is not as fluid as before? Help please tnx,device_hardware_issue,AUTO_HANDLE,YES,Primary device-function or hardware symptom.,PROPOSED - HUMAN REVIEW REQUIRED
101,2016051,596176,Sun Nov 05 17:00:56 +0000 2017,Do better only 3 weeks and this charger set on fire,battery_power_charging,ESCALATE,YES,"Primary issue concerns battery, charging, cable, or power.",PROPOSED - HUMAN REVIEW REQUIRED
102,266508,179492,Thu Oct 05 22:42:22 +0000 2017,if I buy a Watch 3 from AT&amp;T can it be used on Verizon?,billing_purchase_payment,ESCALATE,YES,Financial/purchase-related request; conservative escalation draft.,PROPOSED - HUMAN REVIEW REQUIRED
103,718073,291948,Fri Oct 06 06:40:23 +0000 2017,"I have a iPhone 7 on iOS 11.0.2, it's constantly freezing and battery life is draining me let alone the phone!",battery_power_charging,AUTO_HANDLE,YES,"Primary issue concerns battery, charging, cable, or power.",PROPOSED - HUMAN REVIEW REQUIRED
104,2727139,764739,Tue Oct 31 18:08:39 +0000 2017,How do i Setup iTunes default playlist to shuffle all songs? when i hit play on my keyboard it only play the downloaded ones,apps_media_services,AUTO_HANDLE,YES,Primary issue concerns an Apple app/media/service feature.,PROPOSED - HUMAN REVIEW REQUIRED
